Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF
4834069147,MLB $30K Four-Seamer [20 Entry Max],181352022,$4.00,39844902,39844909,39845037,39844954,39844981,39845099,39845226,39844925,39844923,39845094
4834061222,MLB $7.5K Solo Shot,181352024,$1.00,39844899,39844909,39845037,39844954,39844981,39845140,39845051,39844920,39845029,39844925
4834061223,MLB $7.5K Solo Shot,181352024,$1.00,39844898,39844902,39844984,39845050,39845181,39845063,39844928,39844932,39845020,39845009
4834061224,MLB $7.5K Solo Shot,181352024,$1.00,39844898,39844909,39845066,39844924,39845096,39844959,39844949,39844986,39844972,39845034
4834061225,MLB $7.5K Solo Shot,181352024,$1.00,39844900,39844902,39845037,39844954,39845096,39845033,39844949,39844925,39844972,39845168
4834061226,MLB $7.5K Solo Shot,181352024,$1.00,39844899,39844909,39845038,39845007,39844946,39844976,39844939,39844923,39844970,39845323
4834061227,MLB $7.5K Solo Shot,181352024,$1.00,39844899,39844909,39845066,39844954,39844981,39845096,39844949,39844925,39844972,39844986
4834061228,MLB $7.5K Solo Shot,181352024,$1.00,39844902,39844909,39845037,39845002,39844981,39845140,39845226,39844925,39844916,39844927
4834061229,MLB $7.5K Solo Shot,181352024,$1.00,39844899,39844909,39845037,39844954,39844981,39845140,39844949,39844972,39844925,39845168
4834061230,MLB $7.5K Solo Shot,181352024,$1.00,39844898,39844909,39845066,39844954,39844981,39845140,39845226,39844986,39844972,39844925
4834061231,MLB $7.5K Solo Shot,181352024,$1.00,39844900,39844909,39845066,39844924,39845096,39845033,39844934,39844972,39844986,39844945
4834061232,MLB $7.5K Solo Shot,181352024,$1.00,39844900,39844909,39845037,39844954,39845023,39845140,39845226,39844966,39844936,39844925
4834061233,MLB $7.5K Solo Shot,181352024,$1.00,39844902,39844909,39844929,39844919,39845096,39845033,39844949,39845168,39844972,39844940
4834061234,MLB $7.5K Solo Shot,181352024,$1.00,39844900,39844902,39845037,39845156,39844981,39845140,39845226,39844970,39844925,39844923
4834061235,MLB $7.5K Solo Shot,181352024,$1.00,39844905,39844902,39845022,39845002,39844981,39845140,39845226,39845006,39844925,39844916
4834061236,MLB $7.5K Solo Shot,181352024,$1.00,39844900,39844909,39845066,39844954,39844981,39845033,39845226,39845006,39844972,39844925
4834061237,MLB $7.5K Solo Shot,181352024,$1.00,39844905,39844909,39844982,39844954,39844981,39844955,39844922,39844925,39845006,39845149
4834061238,MLB $7.5K Solo Shot,181352024,$1.00,39844905,39844909,39844917,39844973,39844981,39844962,39845226,39844936,39844966,39845006
4834061239,MLB $7.5K Solo Shot,181352024,$1.00,39844902,39844909,39845038,39845007,39844946,39844976,39844939,39845020,39844980,39844932
4834061240,MLB $7.5K Solo Shot,181352024,$1.00,39844898,39844909,39844969,39844960,39845096,39845033,39844949,39844986,39844972,39844975
4834061241,MLB $7.5K Solo Shot,181352024,$1.00,39844900,39844902,39845134,39845050,39844974,39845063,39844928,39844932,39845020,39845009
4834069009,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Jimmy Crooks (Jimmy Crooks_STL),Rafael Devers (Rafael Devers_SF),Nico Hoerner (Nico Hoerner_CHC),Matt Chapman (Matt Chapman_SF),Willy Adames (Willy Adames_SF),Heliot Ramos (Heliot Ramos_SF),Fernando Tatis Jr (Fernando Tatis Jr_SD),Mickey Moniak (Mickey Moniak_COL)
4834069010,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Max Fried (Max Fried_NYY),Michael Lorenzen (Michael Lorenzen_KC),Gabriel Moreno (Gabriel Moreno_ARI),Tyler Locklear (Tyler Locklear_ARI),Ketel Marte (Ketel Marte_ARI),Curtis Mead (Curtis Mead_CHW),Bobby Witt Jr (Bobby Witt Jr_KC),Wyatt Langford (Wyatt Langford_TEX),Seiya Suzuki (Seiya Suzuki_CHC),Marcell Ozuna (Marcell Ozuna_ATL)
4834069011,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Framber Valdez (Framber Valdez_HOU),Simeon Woods Richardson (Simeon Woods Richardson_MIN),Salvador Perez (Salvador Perez_KC),Paul Goldschmidt (Paul Goldschmidt_NYY),Zack Gelof (Zack Gelof_OAK),Bryan Ramos (Bryan Ramos_CHW),Dansby Swanson (Dansby Swanson_CHC),Byron Buxton (Byron Buxton_MIN),Ronald Acuna Jr (Ronald Acuna Jr_ATL),Randy Arozarena (Randy Arozarena_SEA)
4834069012,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Kyle Teel (Kyle Teel_CHW),Kody Clemens (Kody Clemens_MIN),Ozzie Albies (Ozzie Albies_ATL),Matt Chapman (Matt Chapman_SF),Willy Adames (Willy Adames_SF),Heliot Ramos (Heliot Ramos_SF),Brent Rooker (Brent Rooker_OAK),Matt Wallner (Matt Wallner_MIN)
4834069013,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Michael Lorenzen (Michael Lorenzen_KC),Simeon Woods Richardson (Simeon Woods Richardson_MIN),Gabriel Moreno (Gabriel Moreno_ARI),Rafael Devers (Rafael Devers_SF),Ketel Marte (Ketel Marte_ARI),Curtis Mead (Curtis Mead_CHW),Bobby Witt Jr (Bobby Witt Jr_KC),Wyatt Langford (Wyatt Langford_TEX),Seiya Suzuki (Seiya Suzuki_CHC),Mickey Moniak (Mickey Moniak_COL)
4834069014,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Jimmy Crooks (Jimmy Crooks_STL),Willson Contreras (Willson Contreras_STL),Nico Hoerner (Nico Hoerner_CHC),Matt Chapman (Matt Chapman_SF),Dansby Swanson (Dansby Swanson_CHC),Byron Buxton (Byron Buxton_MIN),Fernando Tatis Jr (Fernando Tatis Jr_SD),Randy Arozarena (Randy Arozarena_SEA)
4834069015,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Max Fried (Max Fried_NYY),Michael Lorenzen (Michael Lorenzen_KC),Salvador Perez (Salvador Perez_KC),Tyler Locklear (Tyler Locklear_ARI),Zack Gelof (Zack Gelof_OAK),Bryan Ramos (Bryan Ramos_CHW),Zach Neto (Zach Neto_LAA),Ronald Acuna Jr (Ronald Acuna Jr_ATL),Kyle Tucker (Kyle Tucker_CHC),Brent Rooker (Brent Rooker_OAK)
4834069016,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Max Fried (Max Fried_NYY),Simeon Woods Richardson (Simeon Woods Richardson_MIN),Jimmy Crooks (Jimmy Crooks_STL),Rafael Devers (Rafael Devers_SF),Ketel Marte (Ketel Marte_ARI),Curtis Mead (Curtis Mead_CHW),Willy Adames (Willy Adames_SF),Heliot Ramos (Heliot Ramos_SF),Seiya Suzuki (Seiya Suzuki_CHC),Mickey Moniak (Mickey Moniak_COL)
4834069017,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Gabriel Moreno (Gabriel Moreno_ARI),Kody Clemens (Kody Clemens_MIN),Nico Hoerner (Nico Hoerner_CHC),Bryan Ramos (Bryan Ramos_CHW),Bobby Witt Jr (Bobby Witt Jr_KC),Byron Buxton (Byron Buxton_MIN),Fernando Tatis Jr (Fernando Tatis Jr_SD),Wyatt Langford (Wyatt Langford_TEX)
4834069018,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Framber Valdez (Framber Valdez_HOU),Michael Lorenzen (Michael Lorenzen_KC),Salvador Perez (Salvador Perez_KC),Tyler Locklear (Tyler Locklear_ARI),Ozzie Albies (Ozzie Albies_ATL),Matt Chapman (Matt Chapman_SF),Dansby Swanson (Dansby Swanson_CHC),Ronald Acuna Jr (Ronald Acuna Jr_ATL),Randy Arozarena (Randy Arozarena_SEA),Joc Pederson (Joc Pederson_TEX)
4834069019,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Gabriel Moreno (Gabriel Moreno_ARI),Rafael Devers (Rafael Devers_SF),Ketel Marte (Ketel Marte_ARI),Curtis Mead (Curtis Mead_CHW),Willy Adames (Willy Adames_SF),Heliot Ramos (Heliot Ramos_SF),Seiya Suzuki (Seiya Suzuki_CHC),Mickey Moniak (Mickey Moniak_COL)
4834069020,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Max Fried (Max Fried_NYY),Michael Lorenzen (Michael Lorenzen_KC),Jimmy Crooks (Jimmy Crooks_STL),Paul Goldschmidt (Paul Goldschmidt_NYY),Nico Hoerner (Nico Hoerner_CHC),Bryan Ramos (Bryan Ramos_CHW),Bobby Witt Jr (Bobby Witt Jr_KC),Fernando Tatis Jr (Fernando Tatis Jr_SD),Wyatt Langford (Wyatt Langford_TEX),Julio Rodriguez (Julio Rodriguez_SEA)
4834069021,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Framber Valdez (Framber Valdez_HOU),Simeon Woods Richardson (Simeon Woods Richardson_MIN),Logan O'Hoppe (Logan O'Hoppe_LAA),Tyler Locklear (Tyler Locklear_ARI),Zack Gelof (Zack Gelof_OAK),Matt Chapman (Matt Chapman_SF),Zach Neto (Zach Neto_LAA),Byron Buxton (Byron Buxton_MIN),Ronald Acuna Jr (Ronald Acuna Jr_ATL),Joc Pederson (Joc Pederson_TEX)
4834069022,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Jimmy Crooks (Jimmy Crooks_STL),Rafael Devers (Rafael Devers_SF),Ketel Marte (Ketel Marte_ARI),Bryan Ramos (Bryan Ramos_CHW),Willy Adames (Willy Adames_SF),Heliot Ramos (Heliot Ramos_SF),Wyatt Langford (Wyatt Langford_TEX),Seiya Suzuki (Seiya Suzuki_CHC)
4834069023,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Max Fried (Max Fried_NYY),Simeon Woods Richardson (Simeon Woods Richardson_MIN),Gabriel Moreno (Gabriel Moreno_ARI),Tyler Locklear (Tyler Locklear_ARI),Nico Hoerner (Nico Hoerner_CHC),Matt Chapman (Matt Chapman_SF),Bobby Witt Jr (Bobby Witt Jr_KC),Fernando Tatis Jr (Fernando Tatis Jr_SD),Randy Arozarena (Randy Arozarena_SEA),Mickey Moniak (Mickey Moniak_COL)
4834069024,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Salvador Perez (Salvador Perez_KC),Willson Contreras (Willson Contreras_STL),Zack Gelof (Zack Gelof_OAK),Curtis Mead (Curtis Mead_CHW),Dansby Swanson (Dansby Swanson_CHC),Byron Buxton (Byron Buxton_MIN),Ronald Acuna Jr (Ronald Acuna Jr_ATL),Brent Rooker (Brent Rooker_OAK)
4834069025,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Bryan Woo (Bryan Woo_SEA),Michael Lorenzen (Michael Lorenzen_KC),Gabriel Moreno (Gabriel Moreno_ARI),Rafael Devers (Rafael Devers_SF),Nico Hoerner (Nico Hoerner_CHC),Bryan Ramos (Bryan Ramos_CHW),Willy Adames (Willy Adames_SF),Heliot Ramos (Heliot Ramos_SF),Seiya Suzuki (Seiya Suzuki_CHC),Mickey Moniak (Mickey Moniak_COL)
4834069026,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Max Fried (Max Fried_NYY),Simeon Woods Richardson (Simeon Woods Richardson_MIN),Jimmy Crooks (Jimmy Crooks_STL),Paul Goldschmidt (Paul Goldschmidt_NYY),Ketel Marte (Ketel Marte_ARI),Curtis Mead (Curtis Mead_CHW),Bobby Witt Jr (Bobby Witt Jr_KC),Fernando Tatis Jr (Fernando Tatis Jr_SD),Wyatt Langford (Wyatt Langford_TEX),Joc Pederson (Joc Pederson_TEX)
4834069027,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,Logan Webb (Logan Webb_SF),Yu Darvish (Yu Darvish_SD),Salvador Perez (Salvador Perez_KC),Tyler Locklear (Tyler Locklear_ARI),Zack Gelof (Zack Gelof_OAK),Matt Chapman (Matt Chapman_SF),Dansby Swanson (Dansby Swanson_CHC),Byron Buxton (Byron Buxton_MIN),Ronald Acuna Jr (Ronald Acuna Jr_ATL),Randy Arozarena (Randy Arozarena_SEA)
4834069028,MLB $2.5K Quarter Jukebox [Just $0.25!],181352026,$0.25,39844900,39844902,39845134,39845050,39844974,39845063,39844928,39844932,39845020,39845009
4833924373,MLB 10x Booster [Top 3 Win $250],181352581,$25.00,39844902,39844909,39845037,39844954,39844981,39845099,39845226,39844925,39844923,39845094
4833924864,MLB 10x Booster [Top 3 Win $100],181352582,$10.00,39844902,39844909,39845037,39844954,39844981,39845099,39845226,39844925,39844923,39845094
4833924936,MLB 10x Booster [Top 3 Win $50],181352583,$5.00,39844902,39844909,39845037,39844954,39844981,39845099,39845226,39844925,39844923,39845094
4833924891,MLB 10x Booster [Top 10 Win $50],181352694,$5.00,39844902,39844909,39845037,39844954,39844981,39845099,39845226,39844925,39844923,39845094